ID	Animal_number1	Code	SEX	AGE18	AGE19	Encl18	Encl19	Old.new	Comb18	Lag18	Variabilidad18	Date_capture	Position_capture	Time_capture	Persona (día 9)	Color1	Color2	W	Y	O	Weight at release	Moult	SVL	Ltot	Cut_Tail1	Cond_tail1	TailLength
21	RG_12_189	25_5_123_1234	M	AD	AD	C01	0	old	Comb7	4	L	10/06/2020	6,5	10:46	R	WY	WY	1	1	0	3,887	N	61,000	109,000	70	RG	48,000
23	PF_18_054	14_3_1_2	M	IM	AD	C01	0	old	Comb7	4	L	13/06/2020	6,2	11:19	R	WO	WO	1	0	1	4,881	N	60,000	143,000	,	E	83,000
49	UNK_16_C12_M	1235_1345_12345_12345	M	AD	AD	C02	0	old	Comb4	1	M	13/06/2020	6,4	12:32	NL	WY	WY	1	1	0	3,174	EM	54,000	111,000	63	RG	57,000
51	RA_17_567	12_1234_134_3	M	AD	AD	C02	0	old	Comb4	1	M	08/06/2020	6,2	10:07	R	OO	YO	0	1	1	4,393	SM	59,000	136,000	129	RG	77,000
52	GMF_15_261	1345_12345_124_3	M	AD	AD	C02	0	old	Comb4	1	M	08/06/2020	2,6	10:53	MU	WO	WO	1	0	1	4,348	SM	62,000	145,000	,	E	83,000
54	JK_16_510	234_35_13_234	M	AD	AD	C02	0	old	Comb4	1	M	16/06/2020	5,5	13:36	NL	OO	WO	1	0	1	3,725	M	58,000	112,000	70	RG	54,000
56	PF_18_045	14_2_14_3	M	IM	AD	C02	0	old	Comb4	1	M	17/06/2020	2,6	16:14	MU	WO	WO	1	0	1	3,865	SM	60,000	104,000	79	G	44,000
84	NA 13_3_13_12	13_3_13_12	M	AD	AD	C03	0	old	Comb5	2	L	08/06/2020	6,2	13:57	MU	WO	OO	0	0	2	4,985	EM	58,000	145,000	,	E	87,000
85	NA 13_5_45_1	13_5_45_1	M	AD	AD	C03	0	old	Comb5	2	L	08/06/2020	7,2	10:32	PF	OO	OO	0	0	2	5,033	EM	57,000	125,000	79	RG	68,000
86	RV_19_571	134_1_34_5	M	AD	AD	C03	0	old	Comb5	2	L	08/06/2020	6,6	12:55	MU	WO	WY	1	1	0	5,237	SM	55,000	150,000	,	E	95,000
116	RA_17_595	12_45_5_15	M	AD	AD	C04	0	old	Comb1	1	D	08/06/2020	3,6	10:40	PF	WY	WY	1	1	0	3,965	EM	60,000	159,000	,	E	99,000
117	RA_17_529	124_2_1_5	M	AD	AD	C04	0	old	Comb1	1	D	08/06/2020	2,6	10:48	PF	WO	WO	1	0	1	4,536	EM	62,000	156,000	97	TF	94,000
121	JK_16_615	34_5_2_13	M	AD	AD	C04	0	old	Comb1	1	D	08/06/2020	3,5	9:59	MU	WO	WO	1	0	1	4,159	N	59,000	109,000	83	RG	50,000
148	RA_17_520	12_1_5_14	M	AD	AD	C05	0	old	Comb3	1	L	08/06/2020	2,2	9:31	PF	WO	WO	1	0	1	4,484	N	60,000	144,000	,	E	84,000
150	RA_17_096	13_2_35_12	M	AD	AD	C05	0	old	Comb3	1	L	10/06/2020	2,6	11:16	PF	WO	WO	1	0	1	3,083		54,000	109,000	67	RG	55,000
153	JK_16_650	345_3_3_23	M	AD	AD	C05	0	old	Comb3	1	L	08/06/2020	2,2	10:55	PF	WO	WO	1	0	1	4,589	M	62,000	133,000	98	RG	71,000
154	RV_19_516	134_2_3_4	M	IM	AD	C05	0	old	Comb3	1	L	08/06/2020	2,2	11:33	MU	WO	OO	0	0	2	3,592	M	53,000	140,000	,	E	87,000
155	PF_18_043	14_2_4_12	M	IM	AD	C05	0	old	Comb3	1	L	08/06/2020	2,2	12:21	R	OO	OO	0	0	2	3,558	M	57,000	126,000	93	G	69,000
180	RA_17_574	12_3_5_1245	M	AD	AD	C06	0	old	Comb8	4	M	08/06/2020	3,2	9:50	PF	OO	OO	0	0	2	4,260	N	59,000	154,000	,	E	95,000
181	PF_18_036	1234_(1)2345_1234_1245	M	AD	AD	C06	0	old	Comb8	4	M	08/06/2020	2,4	10:44	R	WO	YO	0	1	1	4,299	EM	60,000	139,000	,	E	79,000
182	RA_17_214	13_13_15_5	M	AD	AD	C06	0	old	Comb8	4	M	08/06/2020	4,2	12:57	PF	OO	OO	0	0	2	3,085	N	57,000	96,000	72	RG	39,000
185	JK_16_665	34_4_4_345	M	AD	AD	C06	0	old	Comb8	4	M	08/06/2020	2,6	12:33	R	WO	WO	1	0	1	4,675	M	64,000	119,000	,	E	55,000
186	RV_19_513	134_2_3_1	M	IM	AD	C06	0	old	Comb8	4	M	08/06/2020	5,3	10:14	MU	WO	WO	1	0	1	3,731	EM	55,000	135,000	,	E	80,000
187	PF_18_102	14_4_5_4	M	IM	AD	C06	0	old	Comb8	4	M	10/06/2020	2,6	10:50	MU	WO	WO	1	0	1	3,913	N	58,000	99,000	69	RG	41,000
214	PF_18_565	12345_2_23_15	M	AD	AD	C07	0	old	Comb2	4	D	08/06/2020	4,6	10:12	PF	YO	YO	0	1	1	5,003	EM	60,000	161,000	,	E	101,000
218	JK_16_667	34_5_123_345	M	AD	AD	C07	0	old	Comb2	4	D	08/06/2020	4,6	10:06	PF	OO	OO	0	0	2	3,716	SM	60,000	112,000	69	RG	52,000
219	RV_19_526	134_1_5_2	M	IM	AD	C07	0	old	Comb2	4	D	08/06/2020	2,6	11:04	R	WO	WO	1	0	1	2,976	N	54,000	127,000	87	RG	73,000
250	RA_17_564	12_3_34_5	M	AD	AD	C08	0	old	Comb6	2	M	08/06/2020	3,4	12:12	MU	WO	WO	1	0	1	4,209	EM	59,000	113,000	82	RG	54,000
251	NA 123_24_1345_5	123_243_1345_5	M	AD	AD	C08	0	old	Comb6	2	M	10/06/2020	6,2	10:31	R	WW	WW	2	0	0	3,590	N	57,000	139,000	,	E	82,000
254	NA 13_4_13_2	1234_4_13_2	M	AD	AD	C08	0	old	Comb6	2	M	10/06/2020	6,2	10:32	R	WO	WO	1	0	1	3,086	N	56,000	112,000	64	RG	56,000
282	PF_18_566	12345_2_2_125	M	AD	AD	C09	0	new	Comb2	4	D	09/06/2020	4,4	10:26	MU	OO	OO	0	0	2	3,829	N	61,000	101,000	72	RG	40,000
284	NA 13_2_45_2	13_23_2345_2	M	AD	AD	C09	0	new	Comb2	4	D	15/06/2020	4,2	12:02	PF	WO	WO	1	0	1	3,886	N	58,000	141,000	,	E	83,000
285	RV_19_560	134_1_13_4	M	AD	AD	C09	0	new	Comb2	4	D	09/06/2020	2,2	9:43	PF	WO	WO	1	0	1	3,437	EM	56,000	153,000	,	E	97,000
286	JK_16_500	34_4_24_5	M	AD	AD	C09	0	new	Comb2	4	D	15/06/2020	4,4	12:27	MU	WW	WW	2	0	0	4,307	N	60,000	115,000	63	TF	55,000
287	RV_19_506	134_2_1_4	M	IM	AD	C09	0	new	Comb2	4	D	09/06/2020	4,2	10:25	MU	WO	WO	1	0	1	3,488	M	55,000	139,000	,	E	84,000
313	RA_17_508	12_12_2_4	M	AD	AD	C10	0	new	Comb5	2	L	09/06/2020	3,4	11:20	PF	WO	WO	1	0	1	4,029	M	62,000	121,000	,	E	59,000
314	RA_17_578	12_14_12_12345	M	AD	AD	C10	0	new	Comb5	2	L	09/06/2020	3,3	9:51	PF	WO	WO	1	0	1	4,060	N	58,000	117,000	90	RG	59,000
318	RA_17_565	125_3_34_1	M	AD	AD	C10	0	new	Comb5	2	L	09/06/2020	3,3	10:02	PF	WO	WO	1	0	1	4,303	N	58,000	121,000	,	E	63,000
